Candidate,Total,Men,Women,White,Black,Hispanic,18 to 29,30 to 49,50 to 64,65 and older,Postgrad,College Grad,Some College,HS or Less,Rep or Lean Rep,Dem or Lean Dem
Clinton,41,33,39,33,85,50,38,46,41,39,59,47,36,37,5,79
Trump,37,45,30,45,2,26,27,29,43,47,21,34,40,42,76,4
